modality,label,n_voxels,n_sensors,n_outputs,n_sources,n_singular_values,bandwidth_hz,output_amplitude,output_noise,output_snr,noise_model_type,noise_covariance_model,noise_correlation_length_mm,noise_correlation_kernel,johnson_electrode_area_cm2,johnson_lmax,johnson_bandwidth_hz,johnson_noise_diagonal,total_input_power,bitrate_bits_per_s,channel_capacity_bits_per_s,frequency_hz,source_spacing_mm,grid_resolution_mm,spectrum_estimate_method,spectrum_reference_num_sensors,spectrum_reference_path,spectrum_reference_hash,spectrum_reference_singular_value_count,spectrum_scale_factor,path
eeg_openmeeg,EEG OpenMEEG,4347,128,128,13041,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05680177435195672,28687.435916618284,65176.151291284325,,6.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/fd856f20.npz
eeg_openmeeg,EEG OpenMEEG,7347,128,128,22041,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.056872503384508555,28316.248902773885,69172.5339459621,,5.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/e84d225c.npz
eeg_openmeeg,EEG OpenMEEG,14355,128,128,43065,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05652685524101506,28582.94781762396,75560.53883421377,,4.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/c9e57c15.npz
eeg_openmeeg,EEG OpenMEEG,18,256,256,54,54,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.06338761768860192,17334.680407146487,17646.827271418435,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/7110bdd5.npz
eeg_openmeeg,EEG OpenMEEG,43,256,256,129,129,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.06050334584271222,24695.773705253247,27180.433862833455,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/01f1daa2.npz
eeg_openmeeg,EEG OpenMEEG,148,256,256,444,256,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05587685262939095,31276.307409137673,41169.881947025104,,20.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/ea96362d.npz
eeg_openmeeg,EEG OpenMEEG,302,256,256,906,256,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05854410629549041,29327.09232745759,44612.41818701038,,15.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/ee33301f.npz
eeg_openmeeg,EEG OpenMEEG,984,256,256,2952,256,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.057245486989980755,29966.555150272525,55879.44945471107,,10.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/b22b01ef.npz
eeg_openmeeg,EEG OpenMEEG,1842,256,256,5526,256,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05760771947701819,29418.15753480875,61074.965243436505,,8.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/49222dd8.npz
eeg_openmeeg,EEG OpenMEEG,4347,256,256,13041,256,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05682135778449485,29785.2091868003,70339.55208785245,,6.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/43d98f8a.npz
