modality,label,n_voxels,n_sensors,n_outputs,n_sources,n_singular_values,bandwidth_hz,output_amplitude,output_noise,output_snr,noise_model_type,noise_correlation_length_mm,noise_correlation_kernel,total_input_power,bitrate_bits_per_s,channel_capacity_bits_per_s,frequency_hz,source_spacing_mm,grid_resolution_mm,spectrum_estimate_method,spectrum_reference_num_sensors,spectrum_reference_path,spectrum_reference_hash,spectrum_reference_singular_value_count,spectrum_scale_factor,path
meg_squid,MEG SQUID,360,500,1500,1080,1080,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.7365393775231632e-15,12412.554742131353,24753.502850238907,,15.0,,,,,,,,results/variants/meg_squid/c8e2aefb.npz
meg_squid,MEG SQUID,1153,500,1500,3459,1500,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.7479854502464895e-15,12405.443814978265,32091.350053491373,,10.0,,,,,,,,results/variants/meg_squid/03b35d40.npz
meg_squid,MEG SQUID,1153,500,1500,3459,1500,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.7479854502464887e-15,12793.464977051577,32667.233369820053,,10.0,,,,,,,,results/variants/meg_squid/6fdb98e9.npz
meg_squid,MEG SQUID,8937,500,1500,26811,1500,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.679511711713043e-15,12516.888464501422,49138.5165116084,,5.0,,,,,,,,results/variants/meg_squid/35194b19.npz
meg_squid,MEG SQUID,8937,500,1500,26811,1500,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.679511711713043e-15,12908.934804652872,49832.84237307938,,5.0,,,,,,,,results/variants/meg_squid/87b327ba.npz
meg_squid,MEG SQUID,8937,600,1800,26811,1800,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.6795105276502217e-15,13703.282131454347,51590.674920276986,,5.0,,,,,,,,results/variants/meg_squid/05fe146f.npz
meg_squid,MEG SQUID,50,700,2100,150,150,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.7916346648246838e-15,11653.783126809973,15020.512641696849,,30,,,,,,,,results/variants/meg_squid/303ece3b.npz
meg_squid,MEG SQUID,50,700,2100,150,150,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.7916346648246838e-15,10822.415204053,14158.371067179369,,30.0,,,,,,,,results/variants/meg_squid/e6218794.npz
meg_squid,MEG SQUID,153,700,2100,459,459,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.922656115548606e-15,13436.866407932788,21545.764782949296,,20.0,,,,,,,,results/variants/meg_squid/454a8caa.npz
meg_squid,MEG SQUID,153,700,2100,459,459,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.922656115548605e-15,12403.985250071053,20351.663524956224,,20.0,,,,,,,,results/variants/meg_squid/57fa9ec0.npz
meg_squid,MEG SQUID,360,700,2100,1080,1080,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.7365517450335316e-15,14256.02724030241,27224.05293269399,,15,,,,,,,,results/variants/meg_squid/09ca9691.npz
meg_squid,MEG SQUID,360,700,2100,1080,1080,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.7365517450335298e-15,13136.765452521351,25769.223335591716,,15.0,,,,,,,,results/variants/meg_squid/585ab194.npz
meg_squid,MEG SQUID,1153,700,2100,3459,2100,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.7479796930546295e-15,13137.852880675235,33372.14489303557,,10.0,,,,,,,,results/variants/meg_squid/26a7263d.npz
meg_squid,MEG SQUID,1153,700,2100,3459,2100,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.747979693054631e-15,14266.34983660612,35075.682015565166,,10.0,,,,,,,,results/variants/meg_squid/e514e63f.npz
meg_squid,MEG SQUID,8937,700,2100,26811,2100,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.679509674497083e-15,13258.923498318083,50987.80463288555,,5.0,,,,,,,,results/variants/meg_squid/05a61675.npz
meg_squid,MEG SQUID,8937,700,2100,26811,2100,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.6795096744970834e-15,14400.87105320732,53109.77687785197,,5.0,,,,,,,,results/variants/meg_squid/14ad9e6b.npz
meg_squid,MEG SQUID,8937,1000,3000,26811,3000,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.6795081233343601e-15,13628.935700982871,51975.727247679046,,5.0,,,,,,,,results/variants/meg_squid/1bec7ca5.npz
meg_squid,MEG SQUID,8937,1000,3000,26811,3000,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.6795081233343595e-15,16108.812720011923,56745.041821855775,,5.0,,,,,,,,results/variants/meg_squid/afe21bda.npz
meg_squid,MEG SQUID,8937,1200,3600,26811,3600,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.6795075145663886e-15,13708.409019234206,52203.63874940842,,5.0,,,,,,,,results/variants/meg_squid/05d093a3.npz
meg_squid,MEG SQUID,8937,1200,3600,26811,3600,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.6795075145663886e-15,17033.88806082248,58672.63615762301,,5.0,,,,,,,,results/variants/meg_squid/383446d1.npz
meg_squid,MEG SQUID,8937,1500,4500,26811,4500,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.6795069027211971e-15,18215.413795688426,61098.20793980326,,5.0,,,,,,,,results/variants/meg_squid/4fae9a5d.npz
meg_squid,MEG SQUID,8937,1500,4500,26811,4500,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.6795069027211971e-15,13761.425990519296,52361.58148425307,,5.0,,,,,,,,results/variants/meg_squid/ed115485.npz
meg_squid,MEG SQUID,8937,2000,6000,26811,6000,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.6795062878160426e-15,19820.889581946467,64329.392201948904,,5.0,,,,,,,,results/variants/meg_squid/40f0f201.npz
meg_squid,MEG SQUID,8937,2000,6000,26811,6000,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.6795062878160426e-15,13801.977155054648,52484.67128932566,,5.0,,,,,,,,results/variants/meg_squid/e2ebf0ab.npz
meg_squid,MEG SQUID,8937,2500,7500,26811,7500,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.6795059173971914e-15,13829.471829676348,52566.650949148025,,5.0,,,,,,,,results/variants/meg_squid/31cacb66.npz
meg_squid,MEG SQUID,8937,2500,7500,26811,7500,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.6795059173971914e-15,21131.707027508237,66917.65022354812,,5.0,,,,,,,,results/variants/meg_squid/e5e71902.npz
meg_squid,MEG SQUID,8937,3000,9000,26811,9000,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.6795056698355075e-15,22246.27590303135,69086.66722678412,,5.0,,,,,,,,results/variants/meg_squid/10bf6d54.npz
meg_squid,MEG SQUID,8937,3000,9000,26811,9000,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.6795056698355075e-15,13854.303069713564,52639.47827818731,,5.0,,,,,,,,results/variants/meg_squid/f936f97f.npz
meg_squid,MEG SQUID,8937,4000,12000,26811,9000,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.6795056698355075e-15,24086.504762326167,72610.41335019446,,5.0,,sensor_count_sqrt_scaling_extrapolation,3000,results/variants/meg_squid/10bf6d54.npz,10bf6d54,9000,1.1547005383792515,results/variants/meg_squid/f986d0c3.npz
meg_squid,MEG SQUID,8937,5000,15000,26811,9000,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.6795056698355075e-15,25584.35009610318,75429.13779614463,,5.0,,sensor_count_sqrt_scaling_extrapolation,3000,results/variants/meg_squid/10bf6d54.npz,10bf6d54,9000,1.2909944487358056,results/variants/meg_squid/1f93e58e.npz
meg_squid,MEG SQUID,8937,7500,22500,26811,9000,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.679505669835507e-15,28468.43767037729,80758.28645456824,,5.0,,sensor_count_sqrt_scaling_extrapolation,3000,results/variants/meg_squid/10bf6d54.npz,10bf6d54,9000,1.5811388300841898,results/variants/meg_squid/245093e4.npz
meg_squid,MEG SQUID,8937,10000,30000,26811,9000,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.679505669835507e-15,30645.62327686342,84700.60933314869,,5.0,,sensor_count_sqrt_scaling_extrapolation,3000,results/variants/meg_squid/10bf6d54.npz,10bf6d54,9000,1.8257418583505538,results/variants/meg_squid/850b5b51.npz
eeg_openmeeg,EEG OpenMEEG,18,32,32,54,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,scalar_iid,,,0.06301444601171088,14463.488573776322,15652.557014559497,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_clean_sweep_20260601_margin5mm/16a0f4db.npz
eeg_openmeeg,EEG OpenMEEG,18,32,32,54,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,5.0,gaussian,0.06301309020199022,14463.581143567551,15652.643636050861,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/7f6cc074.npz
eeg_openmeeg,EEG OpenMEEG,43,32,32,129,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,scalar_iid,,,0.060564673796138786,15831.675533664627,19041.777107571357,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_clean_sweep_20260601_margin5mm/b41fbd68.npz
eeg_openmeeg,EEG OpenMEEG,43,32,32,129,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,5.0,gaussian,0.06009539562580832,15841.68860730806,19051.91190742739,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/a0234155.npz
eeg_openmeeg,EEG OpenMEEG,148,32,32,444,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,scalar_iid,,,0.05581867013710753,16583.618621174297,22649.783009011473,,20.0,20.0,,,,,,,results/variants/eeg_openmeeg_clean_sweep_20260601_margin5mm/4c48df03.npz
eeg_openmeeg,EEG OpenMEEG,148,32,32,444,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,5.0,gaussian,0.05549417387720338,16590.73543887407,22656.914416537467,,20.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/fd9cdffc.npz
eeg_openmeeg,EEG OpenMEEG,302,32,32,906,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,scalar_iid,,,0.05886114763821924,16155.021114817122,23865.479701415996,,15.0,20.0,,,,,,,results/variants/eeg_openmeeg_clean_sweep_20260601_margin5mm/60b46769.npz
eeg_openmeeg,EEG OpenMEEG,302,32,32,906,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,5.0,gaussian,0.058357365178420294,16155.082744638696,23865.54280651629,,15.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/949186b4.npz
eeg_openmeeg,EEG OpenMEEG,984,32,32,2952,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,scalar_iid,,,0.05727485907698288,16252.245983108895,26689.892740803734,,10.0,20.0,,,,,,,results/variants/eeg_openmeeg_clean_sweep_20260601_margin5mm/3f3ff213.npz
eeg_openmeeg,EEG OpenMEEG,984,32,32,2952,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,5.0,gaussian,0.05719782619735742,16251.661272869751,26689.30461217327,,10.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/dcf5f33c.npz
eeg_openmeeg,EEG OpenMEEG,1842,32,32,5526,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,scalar_iid,,,0.05767667626601474,16157.791773606783,28042.282198721467,,8.0,20.0,,,,,,,results/variants/eeg_openmeeg_clean_sweep_20260601_margin5mm/e2794315.npz
eeg_openmeeg,EEG OpenMEEG,1842,32,32,5526,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,5.0,gaussian,0.0573585794639805,16157.58966649027,28042.077654188466,,8.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/cd9e5549.npz
eeg_openmeeg,EEG OpenMEEG,4347,32,32,13041,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,scalar_iid,,,0.05672626578551337,16226.990981445862,30093.776905032028,,6.0,20.0,,,,,,,results/variants/eeg_openmeeg_clean_sweep_20260601_margin5mm/7a8009ad.npz
eeg_openmeeg,EEG OpenMEEG,4347,32,32,13041,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,5.0,gaussian,0.05649982459687066,16226.459706884461,30093.242261843654,,6.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/20128028.npz
eeg_openmeeg,EEG OpenMEEG,7347,32,32,22041,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,scalar_iid,,,0.056986015911766434,16163.096073659568,31240.996233604026,,5.0,20.0,,,,,,,results/variants/eeg_openmeeg_clean_sweep_20260601_margin5mm/a9d95773.npz
eeg_openmeeg,EEG OpenMEEG,14355,32,32,43065,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,scalar_iid,,,0.05647913684554005,16209.601558722099,32833.85640556409,,4.0,20.0,,,,,,,results/variants/eeg_openmeeg_clean_sweep_20260601_margin5mm/395389e8.npz
eeg_openmeeg,EEG OpenMEEG,18,64,64,54,54,100.0,5e-06,6.542179988352507e-08,76.42712381655417,scalar_iid,,,0.06321614352528797,17300.11299332034,17788.995172231596,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_clean_sweep_20260601_margin5mm/3d048cc4.npz
eeg_openmeeg,EEG OpenMEEG,18,64,64,54,54,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,5.0,gaussian,0.0632311199235087,17300.133371695778,17789.041495396035,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/2ae16efa.npz
eeg_openmeeg,EEG OpenMEEG,43,64,64,129,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,scalar_iid,,,0.06006296295921748,22078.88965195788,25155.291167019077,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_clean_sweep_20260601_margin5mm/e42cdeb1.npz
